model,baseline,metric,metric_display,model_mean,baseline_mean,delta_vs_resunetds
U-Net,ResUNet-DS,mean_dice_no_bg,Mean Dice (C1-C4),0.7230557495239941,0.7366288623203957,-0.01357311279640161
U-Net,ResUNet-DS,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.6819359022899475,0.6979640436805973,-0.016028141390649786
U-Net,ResUNet-DS,mean_iou_no_bg,Mean IoU (C1-C4),0.5759975999543789,0.5920172792514549,-0.01601967929707593
U-Net,ResUNet-DS,macro_precision_no_bg,Macro Precision (C1-C4),0.6692942853380439,0.6819199040634535,-0.01262561872540957
U-Net,ResUNet-DS,macro_recall_no_bg,Macro Recall (C1-C4),0.7929139371562854,0.8048213143404708,-0.01190737718418533
U-Net,ResUNet-DS,weighted_kappa_fg,Weighted Kappa,0.9732367295153009,0.9734945099326152,-0.0002577804173142795
U-Net,ResUNet-DS,ordinal_mae_fg,Ordinal MAE,0.04980175299063623,0.048205619296242355,0.0015961336943938753
U-Net,ResUNet-DS,adjacent_error_rate_fg,Adjacent Error Rate,0.04892252022020885,0.04761177586541591,0.0013107443547929407
U-Net,ResUNet-DS,distant_error_rate_fg,Distant Error Rate,0.0003371050012320912,0.0002467868660447699,9.031813518732128e-05
U-Net,ResUNet-DS,dice_c1,Dice C1,0.8464152912261342,0.8526233182397911,-0.006208027013656858
U-Net,ResUNet-DS,dice_c2,Dice C2,0.56850430799491,0.5903214990250181,-0.02181719103010804
U-Net,ResUNet-DS,dice_c3,Dice C3,0.7161364677478076,0.7350943786927889,-0.018957910944981338
U-Net,ResUNet-DS,dice_c4,Dice C4,0.7611669311271244,0.7684762533239848,-0.007309322196860424
U-Net,ResUNet-DS,iou_c1,IoU C1,0.7337792613678964,0.7431118193974344,-0.00933255802953803
U-Net,ResUNet-DS,iou_c2,IoU C2,0.3975072938025681,0.4192267965573856,-0.021719502754817488
U-Net,ResUNet-DS,iou_c3,IoU C3,0.5579622717274637,0.5813998662486262,-0.023437594521162453
U-Net,ResUNet-DS,iou_c4,IoU C4,0.6147415729195872,0.6243306348023735,-0.009589061882786298
Proposed AMC-Ordinal,ResUNet-DS,mean_dice_no_bg,Mean Dice (C1-C4),0.7406399482245138,0.7366288623203957,0.004011085904118139
Proposed AMC-Ordinal,ResUNet-DS,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.7015960402230581,0.6979640436805973,0.0036319965424608247
Proposed AMC-Ordinal,ResUNet-DS,mean_iou_no_bg,Mean IoU (C1-C4),0.5964073966417665,0.5920172792514549,0.0043901173903115875
Proposed AMC-Ordinal,ResUNet-DS,macro_precision_no_bg,Macro Precision (C1-C4),0.6945287549970647,0.6819199040634535,0.012608850933611193
Proposed AMC-Ordinal,ResUNet-DS,macro_recall_no_bg,Macro Recall (C1-C4),0.7986634378971806,0.8048213143404708,-0.006157876443290133
Proposed AMC-Ordinal,ResUNet-DS,weighted_kappa_fg,Weighted Kappa,0.9731379995882691,0.9734945099326152,-0.00035651034434613926
Proposed AMC-Ordinal,ResUNet-DS,ordinal_mae_fg,Ordinal MAE,0.04900534282715008,0.048205619296242355,0.0007997235309077227
Proposed AMC-Ordinal,ResUNet-DS,adjacent_error_rate_fg,Adjacent Error Rate,0.04852340905875207,0.04761177586541591,0.0009116331933361616
Proposed AMC-Ordinal,ResUNet-DS,distant_error_rate_fg,Distant Error Rate,0.00019581930152333767,0.0002467868660447699,-5.096756452143222e-05
Proposed AMC-Ordinal,ResUNet-DS,dice_c1,Dice C1,0.8577716722288808,0.8526233182397911,0.005148353989089749
Proposed AMC-Ordinal,ResUNet-DS,dice_c2,Dice C2,0.6065609863876246,0.5903214990250181,0.016239487362606497
Proposed AMC-Ordinal,ResUNet-DS,dice_c3,Dice C3,0.7373345639967852,0.7350943786927889,0.0022401853039962782
Proposed AMC-Ordinal,ResUNet-DS,dice_c4,Dice C4,0.7608925702847644,0.7684762533239848,-0.007583683039220412
Proposed AMC-Ordinal,ResUNet-DS,iou_c1,IoU C1,0.750985092046474,0.7431118193974344,0.007873272649039587
Proposed AMC-Ordinal,ResUNet-DS,iou_c2,IoU C2,0.43573995177552505,0.4192267965573856,0.016513155218139453
Proposed AMC-Ordinal,ResUNet-DS,iou_c3,IoU C3,0.5844697941935582,0.5813998662486262,0.003069927944931994
Proposed AMC-Ordinal,ResUNet-DS,iou_c4,IoU C4,0.6144347485515083,0.6243306348023735,-0.009895886250865238
DeepLabV3-ResNet50,ResUNet-DS,mean_dice_no_bg,Mean Dice (C1-C4),0.7280567321415106,0.7366288623203957,-0.00857213017888514
DeepLabV3-ResNet50,ResUNet-DS,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.6888659977771089,0.6979640436805973,-0.009098045903488394
DeepLabV3-ResNet50,ResUNet-DS,mean_iou_no_bg,Mean IoU (C1-C4),0.5812994179637913,0.5920172792514549,-0.01071786128766361
DeepLabV3-ResNet50,ResUNet-DS,macro_precision_no_bg,Macro Precision (C1-C4),0.6833501065873127,0.6819199040634535,0.0014302025238591698
