Metric,U-Net baseline,mean,std,median,min,max
Selection Score,0.6984 ± 0.0141,0.6983838411835661,0.014106874095277937,0.7036399412784968,0.6803531229020209,0.7115741891217727
Validation Loss,0.9554 ± 0.0394,0.9553608466278423,0.039407194659310724,0.9637448381293904,0.9135696725411848,1.0069715204564007
Mean Dice (C1-C4),0.7231 ± 0.0120,0.7230557495239941,0.012009159618530243,0.7286175534419901,0.7067576587939481,0.7345574448913874
Minority Dice (C2-C4),0.6819 ± 0.0156,0.6819359022899475,0.015563412669904594,0.6869881998361679,0.6627500989740693,0.6962520186086962
Mean IoU (C1-C4),0.5760 ± 0.0137,0.5759975999543789,0.013729882576502143,0.5843895317058598,0.5568223029452904,0.5878402816737212
Macro Precision (C1-C4),0.6693 ± 0.0136,0.6692942853380439,0.013637220705930061,0.6696591999355077,0.6507698301255165,0.6891675086101825
Macro Recall (C1-C4),0.7929 ± 0.0237,0.7929139371562854,0.0237009748899738,0.8013878193367331,0.7580309050457527,0.8202608455498588
Dice C1,0.8464 ± 0.0071,0.8464152912261342,0.007142695083094553,0.8494737237394612,0.8387165899786309,0.8535056142594569
Dice C2,0.5685 ± 0.0258,0.56850430799491,0.025837389752392668,0.5571099997889698,0.5414966803857199,0.605593214937685
Dice C3,0.7161 ± 0.0148,0.7161364677478076,0.014767265265655478,0.7202845277512641,0.6950829626705829,0.7334747629970179
Dice C4,0.7612 ± 0.0195,0.7611669311271244,0.01945145165800005,0.7552105278838095,0.7382874941231564,0.7835700719682694
IoU C1,0.7338 ± 0.0107,0.7337792613678964,0.010718020571394588,0.7383349179129015,0.7222324737793313,0.7444481411116209
IoU C2,0.3975 ± 0.0254,0.3975072938025681,0.025433449173672497,0.38610704884467256,0.37126873357334944,0.4343016840029372
IoU C3,0.5580 ± 0.0179,0.5579622717274637,0.017856576065541786,0.5628474011379803,0.5326644857768946,0.5791236854724363
IoU C4,0.6147 ± 0.0254,0.6147415729195872,0.02540128415749544,0.6066973932547182,0.5851471636243107,0.6441555357291654
