epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.9436545846137134,0.920952171087265,0.8516102649948813,0.7840331792831421,0.1845764456824823,1.7109214189377697,0.0,0.0,0.25,0.5030453338677028,0.901882676931469,0.8212990160389124,0.9707187085461056,0.842162854527168,0.758463523558796,0.6109071605635704,0.6448011459530939,0.9207728343310495,0.17866060351226443,0.09809297699088533,0.14666314394439156,0.22851584545616,0.5743196161469974,0.40283896913476347,0.42978456147889116,0.8653256131243264,0.524733822172866,0.3556875566317988,0.8039499844299227,0.38946910356829767,0.5090443913477309,0.3668816658302545,0.5062997089515748,0.6010208491199583,0.42590468061070935,0.08283818650939918,0.08002580169554,0.001281484211819634,0.9186927140926404,0.9478920809695787,1.3409231901168823,8.083064079284668
2,1.5815969664942136,0.6370886374603618,0.7985213764689185,0.7186811918562109,0.11039274907670915,1.4598695635795593,0.0,0.0,0.2637047659694645,0.5566060001282354,0.9184293124471765,0.8491625401990389,0.9386990707345306,0.8990164393652497,0.758480682733293,0.6109294250879175,0.7413700453167795,0.7763997981884884,0.3105488990708292,0.1838164471881029,0.23247775778683022,0.4675687698773351,0.556984776306172,0.3859867637989316,0.4452741374912225,0.7435193504375647,0.6049016587545568,0.4335906945560155,0.8394647106696433,0.4727937336814347,0.5577290042162129,0.40358083265774186,0.5646466628161189,0.6150704130462057,0.49081177804385273,0.08798651486258383,0.08454487894172608,0.0013935201082016415,0.9140616009500723,0.9480023203705991,1.276991841467944,7.767518997192383
3,1.485047779299996,0.5636986937712539,0.7809882252053781,0.6958656317808412,0.08166022120382298,1.4036085253412074,0.0,0.0,0.27416417706727186,0.5019656236338148,0.9255512867977661,0.8614196987023223,0.9610458222019191,0.8925852230885932,0.7915006826692633,0.6549450804965983,0.7370750599113476,0.8546046936345653,0.39632729185594834,0.24713726799941763,0.38120499957067094,0.4126989396524548,0.39292718612831207,0.24449868278319603,0.43687011617346466,0.3570164054440665,0.4787775156381827,0.31473207933752,0.3186309815332254,0.9625761531766195,0.5148831690729266,0.36532827765418296,0.46844528929717716,0.6467240479769265,0.422677331207481,0.11923208562805314,0.10748218248899152,0.005224310326676035,0.8872935071843324,0.9389427418744821,1.2191491303118793,8.776633977890015
4,1.4307645437392322,0.5337798463349993,0.7624430392276157,0.6750017120079561,0.06865137772084298,1.3454164293679325,0.0,0.0,0.2880303105068978,0.6026328958078956,0.9207114501085809,0.8530725635894205,0.9511508082739638,0.8921599562621348,0.7710285824253182,0.6273771475881087,0.7152752546266423,0.8362082338507933,0.35164463518311245,0.21333059769073276,0.3134684457566254,0.4004090006705751,0.5929000394867808,0.42136312708766566,0.5320043998117248,0.6695384512994352,0.6854145431019477,0.5213921540858051,0.5722201498336685,0.8544357412242033,0.6002469500492897,0.44586575661307803,0.5332420625071652,0.6901478567612518,0.5433197392572803,0.06445675450078141,0.06242195320576309,0.0008815997784720677,0.9366964470157648,0.9656696723874048,1.1791342402046376,7.7335124015808105
5,1.396712599830194,0.5065316857600753,0.7587632841684602,0.6706705164502967,0.061331676139326934,1.3141762858087367,0.0,0.0,0.2958643235440338,0.6122271730531876,0.9211964797732405,0.8539057043303023,0.9682328824653925,0.8785183753386281,0.7853373136186161,0.6465476567475897,0.7032027687488629,0.889195988629258,0.412350720871223,0.259724062670504,0.3287111209325322,0.5530804522909646,0.6281707866902227,0.45790742797687706,0.492503062289222,0.8669994342950029,0.6235451495932318,0.453008065908564,0.7515591494654899,0.5327937336814312,0.6123509926933235,0.45429680332588374,0.5689940253590267,0.7105174022241643,0.5546888857182258,0.06790698407379699,0.06433598797696913,0.001451870553361323,0.9342121414696696,0.9570854381425504,1.1315510245886715,7.718575477600098
6,1.4010685790668835,0.503404341976751,0.7513048696247014,0.6593338308686559,0.05783950791440227,1.2987602190537886,0.025,0.0,0.3031298792581225,0.41559056239406794,0.9210562734134453,0.8536647933691441,0.9607186903764074,0.884538872500471,0.7910988069200242,0.6543949261101346,0.7330300759256871,0.8591591546035638,0.3715893539281249,0.22819142998388606,0.3051392502238962,0.4750383438128373,0.5407829445245363,0.37059801521325453,0.38083296635187297,0.9323849455924617,0.04273456023484008,0.02183380923538278,0.7901878914388514,0.021961125616476822,0.43655141640188144,0.3187545451356645,0.552297545985077,0.5721358924063349,0.3183689528958338,0.10079999659031821,0.09966883465600573,0.0005135833198366762,0.8998175820241576,0.9360376573600325,1.2848999974402515,8.019469261169434
7,1.341828092932701,0.4469827755608342,0.7400393255732276,0.6513112082400105,0.04491247347852385,1.222404230047356,0.05,0.0,0.3222114316133308,0.3936312849358349,0.9172403724793368,0.847132040358452,0.9470886283941687,0.8892160181808043,0.7802747947465438,0.6397135940012033,0.7637232331174781,0.7975596662769702,0.3425301761775059,0.20665846898349868,0.2480081162938691,0.5534721899462487,0.5321379937324553,0.3625258992059935,0.3744321385202482,0.9193604206182516,0.004238780801903164,0.0021238917567535055,0.451414514139589,0.002129387873513076,0.41479543636460203,0.3027554634868622,0.45939450051779607,0.5681304161787458,0.29296898357062146,0.10705083031394863,0.10563063032715353,0.0006544058762683325,0.8937149637965781,0.934112638840814,1.3457995233210651,8.030867576599121
8,1.3720288615335117,0.462780376388268,0.7367441498420455,0.6445454470813274,0.04282259051053023,1.2416342090476642,0.075,0.0,0.34256298243479977,0.42766612455377967,0.9253396383064485,0.8610531022547542,0.9761988774540894,0.8795174309778737,0.8060532859438071,0.6751166333088717,0.7138012567110852,0.925689910060769,0.43511339392481446,0.2780478740348483,0.39334227467809046,0.48681039233518886,0.5452076728090405,0.37476666780458984,0.3885943822865551,0.9132840837243049,0.01469384952536722,0.007401301568452966,0.5312370707466644,0.00744995648389861,0.45026705055075733,0.3338331191791907,0.5067437461055988,0.5833085856510403,0.33167163875307404,0.09614015764626369,0.09466446975566566,0.0006669867018516956,0.9046685435424826,0.9358302613670806,1.2392006299712441,7.785146474838257
9,1.392905670133504,0.4658502121879296,0.7385702559893782,0.6473460353233598,0.046747725292913274,1.2375060943039982,0.1,0.0,0.36097940049714605,0.4849114799782197,0.9129045824869773,0.8397649072750704,0.9657129175116516,0.8655722652501171,0.815428196541205,0.6883738023818069,0.7799636847146928,0.8542714403929312,0.22653008853342255,0.12773269344394608,0.1308212502714366,0.8440020981202672,0.46918919636030587,0.30649718126155756,0.4676389793361365,0.4707497254666909,0.5154222557635451,0.3471844150732813,0.8570272020724232,0.36852915578762,0.5066424342996196,0.3674470230401479,0.5588627790986723,0.6343881049418774,0.4037138468857578,0.13609830721254498,0.12854835739102,0.003698965901606755,0.8677526767073732,0.9069044155687914,1.2564155472950502,7.8535425662994385
10,1.415382131934166,0.46901338903064077,0.7405900196595625,0.6497396691278978,0.04714151626368138,1.245612588118423,0.125,0.0,0.3757937081528582,0.4373907162891613,0.917281569757239,0.8472023234624086,0.973944647152234,0.8668491934590773,0.8234925985181836,0.6999468065232664,0.7667850129246909,0.8892576478193401,0.3078561170301552,0.1819325886696134,0.19270162598634263,0.7650105237996716,0.553692355282073,0.38283165915925127,0.4035933124716188,0.8815447073308414,0.16488687687639453,0.08985106956007988,0.8788745025498128,0.09097766173483661,0.46248198692670156,0.3386405309780527,0.5604886134831163,0.6566976351711725,0.34214511639620754,0.10149248880176327,0.10038454897260622,0.0005054188292891024,0.8991100321981047,0.9335905037342632,1.2229473821141503,8.017918348312378
