image_id,image_path,mask_original_path,mask_label_path,width,height,total_pixels,foreground_pixels,foreground_ratio,minority_pixels_c2_c3_c4,minority_ratio_c2_c3_c4,unknown_pixels,pix_c0,pix_c1,pix_c2,pix_c3,pix_c4,ratio_c0,ratio_c1,ratio_c2,ratio_c3,ratio_c4,foreground_percent,minority_percent,c4_percent,strongest_class
0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_0.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_0.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0000.png,512,512,262144,90030,0.3434371948242187,0,0.0,0,172114,90030,0,0,0,0.6565628051757812,0.3434371948242187,0.0,0.0,0.0,34.34371948242187,0.0,0.0,1
1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_1.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_1.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0001.png,512,512,262144,81336,0.310272216796875,0,0.0,0,180808,81336,0,0,0,0.689727783203125,0.310272216796875,0.0,0.0,0.0,31.0272216796875,0.0,0.0,1
2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_2.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_2.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0002.png,512,512,262144,97281,0.3710975646972656,0,0.0,0,164863,97281,0,0,0,0.6289024353027344,0.3710975646972656,0.0,0.0,0.0,37.10975646972656,0.0,0.0,1
3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_3.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_3.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0003.png,512,512,262144,88430,0.3373336791992187,0,0.0,0,173714,88430,0,0,0,0.6626663208007812,0.3373336791992187,0.0,0.0,0.0,33.73336791992187,0.0,0.0,1
4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_4.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_4.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0004.png,512,512,262144,72793,0.2776832580566406,0,0.0,0,189351,72793,0,0,0,0.7223167419433594,0.2776832580566406,0.0,0.0,0.0,27.768325805664062,0.0,0.0,1
5,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_5.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_5.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0005.png,512,512,262144,70323,0.2682609558105469,4336,0.01654052734375,0,191821,65987,4336,0,0,0.7317390441894531,0.2517204284667969,0.01654052734375,0.0,0.0,26.826095581054688,1.654052734375,0.0,2
6,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_6.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_6.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0006.png,512,512,262144,70851,0.2702751159667969,0,0.0,0,191293,70851,0,0,0,0.7297248840332031,0.2702751159667969,0.0,0.0,0.0,27.027511596679688,0.0,0.0,1
7,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_7.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_7.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0007.png,512,512,262144,83775,0.3195762634277344,8209,0.0313148498535156,0,178369,75566,8209,0,0,0.6804237365722656,0.2882614135742187,0.0313148498535156,0.0,0.0,31.957626342773438,3.13148498535156,0.0,2
8,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_8.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_8.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0008.png,512,512,262144,81516,0.3109588623046875,3171,0.0120964050292968,0,180628,78345,3171,0,0,0.6890411376953125,0.2988624572753906,0.0120964050292968,0.0,0.0,31.09588623046875,1.20964050292968,0.0,2
9,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_9.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/masks_zip_extract/Mask_WO_BG/mask_9.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0009.png,512,512,262144,80275,0.3062248229980469,0,0.0,0,181869,80275,0,0,0,0.6937751770019531,0.3062248229980469,0.0,0.0,0.0,30.622482299804688,0.0,0.0,1
