Metric,U-Net,U-Net_mean,U-Net_std,ResUNet-DS,ResUNet-DS_mean,ResUNet-DS_std,Absolute improvement
Selection Score,0.6984 ± 0.0141,0.6983838411835661,0.014106874095277937,0.7134 ± 0.0101,0.7134299711365166,0.010126102802786729,0.015046129952950515
Validation Loss,0.9554 ± 0.0394,0.9553608466278423,0.039407194659310724,0.9276 ± 0.0230,0.9276410289786078,0.022990074460158844,-0.02771981764923448
Mean Dice (C1-C4),0.7231 ± 0.0120,0.7230557495239941,0.012009159618530243,0.7366 ± 0.0083,0.7366288623203957,0.008339431003281036,0.01357311279640161
Minority Dice (C2-C4),0.6819 ± 0.0156,0.6819359022899475,0.015563412669904594,0.6980 ± 0.0113,0.6979640436805973,0.011324520660963417,0.016028141390649786
Mean IoU (C1-C4),0.5760 ± 0.0137,0.5759975999543789,0.013729882576502143,0.5920 ± 0.0094,0.5920172792514549,0.00940376551181903,0.01601967929707593
Macro Precision (C1-C4),0.6693 ± 0.0136,0.6692942853380439,0.013637220705930061,0.6819 ± 0.0085,0.6819199040634535,0.008479755347644929,0.01262561872540957
Macro Recall (C1-C4),0.7929 ± 0.0237,0.7929139371562854,0.0237009748899738,0.8048 ± 0.0104,0.8048213143404708,0.010430102279881389,0.01190737718418533
Dice C1,0.8464 ± 0.0071,0.8464152912261342,0.007142695083094553,0.8526 ± 0.0022,0.8526233182397911,0.0021948735246581294,0.006208027013656858
Dice C2,0.5685 ± 0.0258,0.56850430799491,0.025837389752392668,0.5903 ± 0.0285,0.5903214990250181,0.02852270068939579,0.02181719103010804
Dice C3,0.7161 ± 0.0148,0.7161364677478076,0.014767265265655478,0.7351 ± 0.0179,0.7350943786927889,0.01792892054874834,0.018957910944981338
Dice C4,0.7612 ± 0.0195,0.7611669311271244,0.01945145165800005,0.7685 ± 0.0195,0.7684762533239848,0.01945597294764937,0.007309322196860424
IoU C1,0.7338 ± 0.0107,0.7337792613678964,0.010718020571394588,0.7431 ± 0.0033,0.7431118193974344,0.0033346350453595614,0.00933255802953803
IoU C2,0.3975 ± 0.0254,0.3975072938025681,0.025433449173672497,0.4192 ± 0.0286,0.4192267965573856,0.02864150977689656,0.021719502754817488
IoU C3,0.5580 ± 0.0179,0.5579622717274637,0.017856576065541786,0.5814 ± 0.0224,0.5813998662486262,0.022421891357846002,0.023437594521162453
IoU C4,0.6147 ± 0.0254,0.6147415729195872,0.02540128415749544,0.6243 ± 0.0258,0.6243306348023735,0.025812135821994885,0.009589061882786298
