model,metric,metric_display,mean,std,median,min,max,mean_sd
ResUNet-DS,selection_score,Selection Score,0.7134299711365166,0.010126102802786729,0.7138855819350522,0.6992613962887982,0.7254891308933417,0.7134 ± 0.0101
ResUNet-DS,val_loss,Validation Loss,0.9276410289786078,0.022990074460158844,0.9236536540768363,0.8993595486337488,0.9553190483288332,0.9276 ± 0.0230
ResUNet-DS,mean_dice_no_bg,Mean Dice (C1-C4),0.7366288623203957,0.008339431003281036,0.7366171817456266,0.7249880248442069,0.7463260278359974,0.7366 ± 0.0083
ResUNet-DS,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.6979640436805973,0.011324520660963417,0.6987311820613359,0.6821103105851926,0.7115978662649045,0.6980 ± 0.0113
ResUNet-DS,mean_iou_no_bg,Mean IoU (C1-C4),0.5920172792514549,0.00940376551181903,0.5898350296786015,0.578769019294731,0.6033068879222163,0.5920 ± 0.0094
ResUNet-DS,macro_precision_no_bg,Macro Precision (C1-C4),0.6819199040634535,0.008479755347644929,0.6855129118447048,0.669547523810719,0.690104429582511,0.6819 ± 0.0085
ResUNet-DS,macro_recall_no_bg,Macro Recall (C1-C4),0.8048213143404708,0.010430102279881389,0.8045624303554432,0.7928572617496941,0.8196714508874197,0.8048 ± 0.0104
ResUNet-DS,dice_c1,Dice C1,0.8526233182397911,0.0021948735246581294,0.8532824917476204,0.8502751807984985,0.8554272384823101,0.8526 ± 0.0022
ResUNet-DS,dice_c2,Dice C2,0.5903214990250181,0.02852270068939579,0.6027970411465418,0.557114989555801,0.6238069297639123,0.5903 ± 0.0285
ResUNet-DS,dice_c3,Dice C3,0.7350943786927889,0.01792892054874834,0.732203711914855,0.7118191334836599,0.7578069447316649,0.7351 ± 0.0179
ResUNet-DS,dice_c4,Dice C4,0.7684762533239848,0.01945597294764937,0.760567482936436,0.7500984509502631,0.7942138900893888,0.7685 ± 0.0195
ResUNet-DS,iou_c1,IoU C1,0.7431118193974344,0.0033346350453595614,0.7441087151865677,0.7395466868228744,0.7473768966404755,0.7431 ± 0.0033
ResUNet-DS,iou_c2,IoU C2,0.4192267965573856,0.02864150977689656,0.43143126582067626,0.38611184226266965,0.45328445786818083,0.4192 ± 0.0286
ResUNet-DS,iou_c3,IoU C3,0.5813998662486262,0.022421891357846002,0.5775405077268063,0.5525770114942402,0.6100556926459113,0.5814 ± 0.0224
ResUNet-DS,iou_c4,IoU C4,0.6243306348023735,0.025812135821994885,0.6136417049460309,0.6001260271423303,0.6586689658817404,0.6243 ± 0.0258
ResUNet-DS,precision_c1,Precision C1,0.7942686795142205,0.005112395231878753,0.7940070901603283,0.7874282968796905,0.8018470096065622,0.7943 ± 0.0051
ResUNet-DS,precision_c2,Precision C2,0.5123322795408157,0.04040561913617256,0.5149756656507514,0.4656531726517952,0.5736911237222533,0.5123 ± 0.0404
ResUNet-DS,precision_c3,Precision C3,0.6866845532914319,0.028851479478826488,0.6985104390125783,0.6364038315920848,0.7076682383044591,0.6867 ± 0.0289
ResUNet-DS,precision_c4,Precision C4,0.7343941039073464,0.026756766688970642,0.7397254074247487,0.6888175874103475,0.7585247257154377,0.7344 ± 0.0268
ResUNet-DS,recall_c1,Recall C1,0.9203166498345187,0.008281683131491663,0.9159960041855222,0.9125428005310475,0.9311570043337467,0.9203 ± 0.0083
ResUNet-DS,recall_c2,Recall C2,0.6986036043266225,0.026190374591424436,0.6932879619842495,0.6662262384553143,0.7298268963554179,0.6986 ± 0.0262
ResUNet-DS,recall_c3,Recall C3,0.7927314460001438,0.036403204075007335,0.7994669923228831,0.7463195360566794,0.8410475049598699,0.7927 ± 0.0364
ResUNet-DS,recall_c4,Recall C4,0.8076335572005983,0.040162554542005666,0.8233478387002713,0.7489946380696594,0.8474852190470972,0.8076 ± 0.0402
U-Net,selection_score,Selection Score,0.6983838411835661,0.014106874095277937,0.7036399412784968,0.6803531229020209,0.7115741891217727,0.6984 ± 0.0141
U-Net,val_loss,Validation Loss,0.9553608466278423,0.039407194659310724,0.9637448381293904,0.9135696725411848,1.0069715204564007,0.9554 ± 0.0394
U-Net,mean_dice_no_bg,Mean Dice (C1-C4),0.7230557495239941,0.012009159618530243,0.7286175534419901,0.7067576587939481,0.7345574448913874,0.7231 ± 0.0120
U-Net,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.6819359022899475,0.015563412669904594,0.6869881998361679,0.6627500989740693,0.6962520186086962,0.6819 ± 0.0156
U-Net,mean_iou_no_bg,Mean IoU (C1-C4),0.5759975999543789,0.013729882576502143,0.5843895317058598,0.5568223029452904,0.5878402816737212,0.5760 ± 0.0137
U-Net,macro_precision_no_bg,Macro Precision (C1-C4),0.6692942853380439,0.013637220705930061,0.6696591999355077,0.6507698301255165,0.6891675086101825,0.6693 ± 0.0136
U-Net,macro_recall_no_bg,Macro Recall (C1-C4),0.7929139371562854,0.0237009748899738,0.8013878193367331,0.7580309050457527,0.8202608455498588,0.7929 ± 0.0237
U-Net,dice_c1,Dice C1,0.8464152912261342,0.007142695083094553,0.8494737237394612,0.8387165899786309,0.8535056142594569,0.8464 ± 0.0071
U-Net,dice_c2,Dice C2,0.56850430799491,0.025837389752392668,0.5571099997889698,0.5414966803857199,0.605593214937685,0.5685 ± 0.0258
U-Net,dice_c3,Dice C3,0.7161364677478076,0.014767265265655478,0.7202845277512641,0.6950829626705829,0.7334747629970179,0.7161 ± 0.0148
U-Net,dice_c4,Dice C4,0.7611669311271244,0.01945145165800005,0.7552105278838095,0.7382874941231564,0.7835700719682694,0.7612 ± 0.0195
U-Net,iou_c1,IoU C1,0.7337792613678964,0.010718020571394588,0.7383349179129015,0.7222324737793313,0.7444481411116209,0.7338 ± 0.0107
U-Net,iou_c2,IoU C2,0.3975072938025681,0.025433449173672497,0.38610704884467256,0.37126873357334944,0.4343016840029372,0.3975 ± 0.0254
U-Net,iou_c3,IoU C3,0.5579622717274637,0.017856576065541786,0.5628474011379803,0.5326644857768946,0.5791236854724363,0.5580 ± 0.0179
U-Net,iou_c4,IoU C4,0.6147415729195872,0.02540128415749544,0.6066973932547182,0.5851471636243107,0.6441555357291654,0.6147 ± 0.0254
U-Net,precision_c1,Precision C1,0.8194764476643751,0.018738790840332104,0.8164176230226163,0.7966269262561925,0.8401658381863055,0.8195 ± 0.0187
U-Net,precision_c2,Precision C2,0.4928677452807402,0.037123104244191185,0.49448312566180574,0.44388082837487236,0.5393728297148421,0.4929 ± 0.0371
U-Net,precision_c3,Precision C3,0.644619050162174,0.02942835841899654,0.6476085125639348,0.600371807381565,0.675199989478542,0.6446 ± 0.0294
U-Net,precision_c4,Precision C4,0.7202138982448865,0.021749796259863688,0.7244982673981835,0.6904187869336481,0.7479133178543341,0.7202 ± 0.0217
U-Net,recall_c1,Recall C1,0.8766097563277164,0.035102929938885766,0.8899516187017134,0.8372723329371072,0.9098302244164506,0.8766 ± 0.0351
U-Net,recall_c2,Recall C2,0.6776924556040159,0.06107911881070902,0.6806217937149786,0.598389227878402,0.7382703169045505,0.6777 ± 0.0611
U-Net,recall_c3,Recall C3,0.8081103707771561,0.03923667995501812,0.8163879377835374,0.7690958749483228,0.8640311470499862,0.8081 ± 0.0392
U-Net,recall_c4,Recall C4,0.8092431659162533,0.04797659186322114,0.8200889592980245,0.7289062953292295,0.8531298216084204,0.8092 ± 0.0480
