run,fold,metrics_path,selection_score,mean_dice_no_bg,minority_dice_c2_c3_c4,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,dice_c1,dice_c2,dice_c3,dice_c4,iou_c1,iou_c2,iou_c3,iou_c4,weighted_kappa_fg,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,val_loss
ResUNet-DS,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold0_aug-full_base32_crop320/best_metrics.json,0.7138855819350522,0.7366171817456266,0.6987311820613359,0.5897624652828315,0.6855129118447048,0.7976782669687668,0.8502751807984985,0.6238069297639123,0.7118191334836599,0.760567482936436,0.7395466868228744,0.45328445786818083,0.5525770114942402,0.6136417049460309,0.972761724463079,0.051231085685156684,0.0505042821670294,0.0002672247455689876,0.9460891891609539
ResUNet-DS,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold4_aug-full_base32_crop320/best_metrics.json,0.6992613962887982,0.7249880248442069,0.6821103105851926,0.578769019294731,0.669547523810719,0.7928572617496941,0.8536211676212498,0.5640287688904594,0.732203711914855,0.7500984509502631,0.744623979012222,0.3927855632975654,0.5775405077268063,0.6001260271423303,0.972043508072731,0.04824493878811131,0.04720553004551079,0.0004630908073420054,0.9236536540768363
Original proposed ord0.10_ft0.50_amc0.85,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold0_aug-full_base32_crop320_ord0.1_ft0.5/best_metrics.json,0.7515820749509188,0.7499624834484098,0.7155270172704324,0.6062222217852435,0.6938221157801183,0.8188866972394997,0.8532688819823417,0.639301420571379,0.7256231117824659,0.7816565194574525,0.7440880155562348,0.4698332387763877,0.5693944377768747,0.6415731950314771,0.9727711955413642,0.05240366773966574,0.0520480785255537,0.0001316555143971868,0.9172243469140746
Original proposed ord0.10_ft0.50_amc0.85,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.1_ft0.5/best_metrics.json,0.7226657874759839,0.7238779332367109,0.6805074318007699,0.5771866943266696,0.6794181607746614,0.775862472331338,0.8539894375445338,0.5665487300702383,0.7327570468818349,0.7422165184502365,0.7451846130586776,0.3952340354743966,0.578229332488155,0.5900987962854488,0.9719794842450873,0.047406040494034435,0.04644730348555623,0.0004094819459041148,0.9368189857764677
T1 ord0.05_ft0.25_amc0.65,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold0_aug-full_base32_crop320_ord0.05_ft0.25_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.7354262908813165,0.733219872810865,0.6968471764954255,0.5867363798313425,0.6967682951702675,0.7761808339199417,0.8423379617571836,0.5967923675005404,0.7155100886141653,0.7782390733715708,0.7276199218173773,0.42530581624438984,0.5570383093489636,0.6369814719146396,0.9735202314080175,0.050503751254400354,0.04987177240797082,0.0002496854043549595,0.9680730944330042
T1 ord0.05_ft0.25_amc0.65,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.05_ft0.25_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.7326023907037286,0.7340375107531143,0.6919881350112069,0.5914069689031176,0.6850496996428678,0.807391757028736,0.8601856379788371,0.5562666241474894,0.7490309256425342,0.7706668552435969,0.7546716962343962,0.3852973363721119,0.5987605457211308,0.6268982972848318,0.9719825647107019,0.04805660681862366,0.047416424414105145,0.00028397517363554675,0.9032104963606055
T2 ord0.05_ft0.00_amc0.65,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold0_aug-full_base32_crop320_ord0.05_ft0.0_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.7291631604321007,0.7286280372484036,0.6889606695848162,0.5813332878219284,0.7057783389833041,0.7629771106945951,0.8476301402391663,0.5905356850785723,0.7182134875489177,0.7581328361269583,0.735553896224851,0.4189788126076058,0.5603222381982486,0.6104782042570083,0.9719834750669002,0.052432675070089814,0.051852220309658775,0.00022784955350713815,0.9752213074402376
T2 ord0.05_ft0.00_amc0.65,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.05_ft0.0_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.723498016806165,0.7258434256265318,0.6813946535317212,0.5823198967746934,0.6688285958916355,0.8185135252953967,0.8591897419109631,0.5377308181667193,0.745568626449719,0.7608845159787256,0.7531399159665567,0.367737229811924,0.594347879182595,0.6140545621376983,0.9690819699917275,0.05291615056033624,0.052381388143553274,0.00023490327704369935,0.9039723785086111
T3 ord0.05_ft0.50_amc0.65,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold0_aug-full_base32_crop320_ord0.05_ft0.5_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.7321392797785279,0.7320294369714292,0.6923103461588013,0.5847537533111077,0.6841715071501715,0.7895323633522154,0.8511867094093127,0.6105561558212074,0.7092037461419124,0.7571711365132843,0.7409269342380752,0.4394248521659875,0.5494312088543476,0.6092320179860206,0.9714424099181838,0.05520706777769026,0.05449219045254877,0.00026216146759501264,0.9394808316772635
T3 ord0.05_ft0.50_amc0.65,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.05_ft0.5_amcmax0.65_gain0.05_target0.7/best_metrics.json,0.7359715611121235,0.7353340242480181,0.6964866354291877,0.590662754418688,0.6743471071270686,0.8133655675499538,0.8518761907045097,0.5805164268610841,0.7440065883166465,0.7649368911098323,0.7419724108214747,0.4089631171830916,0.5923650406091595,0.619350449061026,0.9747937258020543,0.04248247895270419,0.041774824989882074,0.00031936591640386767,0.9133317761800506
