model,fold,metrics_path,best_epoch,selection_score,mean_dice_no_bg,minority_dice_c2_c3_c4,mean_iou_no_bg,dice_c1,dice_c2,dice_c3,dice_c4,iou_c1,iou_c2,iou_c3,iou_c4,weighted_kappa_fg,ordinal_mae_fg
Attention U-Net 120,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/attention_unet_120/phase2_attention_unet120_fullval_fold0_aug-full_base32_crop320/best_metrics.json,79.0,0.7037739794316352,0.7051493594376266,0.6584890636928616,0.5554161943705682,0.8451302466719213,0.5402871453019704,0.6996880512576373,0.7354919945189771,0.7317970223364525,0.37013248431914336,0.5380924569172516,0.5816428139094252,0.9713573338463032,0.0547874525764394
Attention U-Net 120,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/attention_unet_120/phase2_attention_unet120_fullval_fold1_aug-full_base32_crop320/best_metrics.json,120.0,0.7333797615482286,0.7320566307409785,0.6943658740471682,0.5888608434369881,0.8451289008224097,0.553002292026497,0.7308558919812239,0.7992394381337836,0.7317950041560872,0.38217219625106924,0.5758651735161437,0.6656109998246523,0.9714324789763419,0.05366327056516742
Attention U-Net 120,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/attention_unet_120/phase2_attention_unet120_fullval_fold2_aug-full_base32_crop320/best_metrics.json,109.0,0.721115599518316,0.7210436861824973,0.6800540715131538,0.5729196721883505,0.8440125301905275,0.5675398625724875,0.7330950400367356,0.7395273119302385,0.7301225594855592,0.3961994108902084,0.5786503827864031,0.586706335591231,0.9677005075567463,0.05631350754138976
Attention U-Net 120,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/attention_unet_120/phase2_attention_unet120_fullval_fold3_aug-full_base32_crop320/best_metrics.json,109.0,0.7088997331090855,0.7111405483031095,0.6631722141205415,0.5667544389920268,0.8550455508508134,0.5115416347989319,0.6915408997735338,0.7864341077891589,0.7467943825068292,0.34367211522898755,0.5285154879153983,0.6480357703168921,0.9765424014582775,0.04617432956543241
Attention U-Net 120,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/attention_unet_120/phase2_attention_unet120_fullval_fold4_aug-full_base32_crop320/best_metrics.json,113.0,0.7114465980325946,0.7111928033845856,0.6680194402032144,0.566766722935135,0.8407128929286997,0.4950955099581788,0.7287895900760127,0.7801732205754514,0.7251981737747325,0.32898799441047594,0.5733036674232327,0.6395770561320984,0.9727709289529031,0.04942094248771632
Final AMC-Focal ResUNet-DS,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/ablation_components/ablation_amc_focal_tversky_fullval_fold0_aug-full_base32_crop320_amc1_ord0.0_ft0.5/best_metrics.json,120.0,0.7438958233207815,0.7430845067457853,0.7065389454935141,0.5967310861308712,0.8527211905025989,0.6476908618497286,0.7246643497826181,0.7472616248481957,0.7432554174657495,0.47895177484022583,0.56821461052947,0.5965025416880393,0.9704710400093756,0.05415921775116626
Final AMC-Focal ResUNet-DS,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/ablation_components/ablation_amc_focal_tversky_fullval_fold1_aug-full_base32_crop320_amc1_ord0.0_ft0.5/best_metrics.json,96.0,0.7545921952129543,0.7537673409673873,0.7182908312372547,0.6127342021990259,0.860196870157785,0.6174784909014154,0.7468333222601811,0.7905606805501676,0.7546889876297002,0.4466321043381209,0.595956895061359,0.6536588217669237,0.9748749418038525,0.047968893350689525
Final AMC-Focal ResUNet-DS,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/ablation_components/ablation_amc_focal_tversky_fullval_fold2_aug-full_base32_crop320_amc1_ord0.0_ft0.5/best_metrics.json,102.0,0.7585862002057047,0.7562614916292736,0.7234092049263436,0.6147350592496618,0.8548183517380636,0.6288198348920592,0.7703553630548515,0.77105241683212,0.7464478260155823,0.4585975285330632,0.6264861732481295,0.6274087092018722,0.9766222976111649,0.04093566093165202
Final AMC-Focal ResUNet-DS,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/ablation_components/ablation_amc_focal_tversky_fullval_fold3_aug-full_base32_crop320_amc1_ord0.0_ft0.5/best_metrics.json,108.0,0.7375280045213644,0.7381665459272643,0.6973485968586338,0.5946791012288222,0.8606203931331557,0.586150071711224,0.7284973650720317,0.7773983537926458,0.7553412295132766,0.41457728998201293,0.5729420805433892,0.6358558048766101,0.9766888262800482,0.045103662178153196
Final AMC-Focal ResUNet-DS,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/ablation_components/ablation_amc_focal_tversky_fullval_fold4_aug-full_base32_crop320_amc1_ord0.0_ft0.5/best_metrics.json,114.0,0.7286797448095526,0.7294199206634691,0.6874724475485747,0.584584495338779,0.8552623400081518,0.5627875954571984,0.742691097746131,0.7569386494423949,0.7471251885032265,0.3915827567855075,0.5906989892577494,0.6089310468086324,0.9737030008136699,0.04504919967628731
TransUNet-style 120,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/transunet_style_120/phase2_transunet_style120_fullval_fold0_aug-full_base32_crop320_tl2_h8/best_metrics.json,62.0,0.7131021832423867,0.7133774922549196,0.6701584500186022,0.5627530530295514,0.8430346189638721,0.5929677097015449,0.6676783360340042,0.7498293043202574,0.7286601939713072,0.42143148653380696,0.5011389922509322,0.5997815393621592,0.9699386555474956,0.05758015283010137
TransUNet-style 120,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/transunet_style_120/phase2_transunet_style120_fullval_fold1_aug-full_base32_crop320_tl2_h8/best_metrics.json,108.0,0.7362218744775735,0.7356585118985075,0.6970784660383093,0.5918392536152032,0.8513986494791019,0.5750969913323797,0.7294340397788565,0.7867043670036918,0.741248170301199,0.4036043069837672,0.5741016701343845,0.6484028670414621,0.9727724128503563,0.052469832429626564
TransUNet-style 120,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/transunet_style_120/phase2_transunet_style120_fullval_fold2_aug-full_base32_crop320_tl2_h8/best_metrics.json,113.0,0.7410061788196739,0.7397076706285026,0.7028490258467978,0.5944044730425089,0.8502836049736171,0.6063263359874851,0.7423609330001429,0.7598598085527655,0.7395594327887318,0.4350561768110159,0.590281387147961,0.6127208954223269,0.9738446212304441,0.04628189475461577
TransUNet-style 120,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/transunet_style_120/phase2_transunet_style120_fullval_fold3_aug-full_base32_crop320_tl2_h8/best_metrics.json,82.0,0.7226726039989447,0.7236477302343495,0.6795495632336525,0.580536709746154,0.8559422312364402,0.5290563289818511,0.7238406181090797,0.7857517426100268,0.7481634709421184,0.3596713724704714,0.5672023638901164,0.64710963168191,0.9784854698844848,0.04262990155383762
TransUNet-style 120,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/transunet_style_120/phase2_transunet_style120_fullval_fold4_aug-full_base32_crop320_tl2_h8/best_metrics.json,111.0,0.7291634583585802,0.7276819116516968,0.6889434443112913,0.5827060591605088,0.8438973136729137,0.552375908335026,0.7390235613060165,0.7754308632928311,0.7299501364830814,0.38157413344766533,0.5860724583176485,0.6332275083936398,0.9749281827629647,0.04487764528912986
U-Net 120,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/unet_120/phase2_unet120_fullval_fold0_aug-full_base32_crop320/best_metrics.json,72.0,0.7091870234805134,0.7072682768298686,0.666790011471538,0.5560794873101063,0.8287030729048603,0.554187186541214,0.7009946440019522,0.745188203871448,0.707508961848022,0.38330493503888946,0.5396395332514747,0.5938645191020387,0.9693253354863004,0.05596003102671956
U-Net 120,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/unet_120/phase2_unet120_fullval_fold1_aug-full_base32_crop320/best_metrics.json,85.0,0.7382259992788087,0.73409579459832,0.7011907467971373,0.5882218728989347,0.8328109380018676,0.5813713721291455,0.7405909955245032,0.7816098727377632,0.7135184565353647,0.409812237471688,0.5880464510676859,0.6415103465210003,0.9728281282103028,0.0503610170965808
U-Net 120,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/unet_120/phase2_unet120_fullval_fold2_aug-full_base32_crop320/best_metrics.json,72.0,0.7340248865722638,0.7343527338791468,0.694660759367506,0.590042677795307,0.8534286574140688,0.5725776712454924,0.7509024084144991,0.7605021984425268,0.7443310553090224,0.4011270243650267,0.6011559172581269,0.6135567142490519,0.9692261078801622,0.05511260117871104
U-Net 120,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/phase2_acceptance_experiments/outputs/metrics/unet_120/phase2_unet120_fullval_fold3_aug-full_base32_crop320/best_metrics.json,120.0,0.7198111229088952,0.7205565048950868,0.6765436836434574,0.575874008657417,0.8525949686499754,0.5330419457172882,0.7218509516320178,0.7747381535810659,0.743063648280173,0.3633654992118544,0.5647627344821174,0.6323041526555232,0.9771796125429467,0.04629062277245834
