epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,2.009166256947951,1.1349905851212414,0.8741756745360114,0.8100054921074347,0.2397252766584808,2.009166256947951,0.0,0.0,0.0,0.5554423684759675,0.8201143646411034,0.6950795399688392,0.9763390630512253,0.706988619638853,0.6417025081144675,0.4724314901175902,0.48185978708740007,0.9602305794424981,0.2798231186966597,0.16267113093895547,0.2223375611488031,0.3774002645103888,0.5545926521536216,0.38369297968489724,0.424535327284602,0.7995305970576195,0.6652754183382464,0.49843647706702743,0.7465650704289915,0.5999499381179235,0.5353484243257488,0.37930801945211756,0.46882443648744915,0.6842778447821075,0.4998970630628426,0.08893306499814636,0.08464436760911835,0.0019209672172077505,0.9134346651736739,0.948996033405372,1.7486246174032039,6.169683933258057
2,1.6919873668388887,0.8477524132891134,0.8442349562590773,0.7748143808408217,0.17081619833003392,1.6919873668388887,0.0,0.0,0.0,0.4621013972914369,0.8897917646291607,0.8014638482049689,0.9583031944548763,0.8304228146742436,0.752515421510481,0.6032262317997091,0.6377630152616559,0.9176228856222763,0.19947851158821908,0.11078929791844737,0.17790000524768518,0.22701438066059684,0.5440506496710966,0.3736741594398143,0.3973486646623357,0.8624802030262858,0.3888979579991225,0.2413862982360435,0.8944399946601098,0.2484645371825243,0.47123563519222983,0.3322689968485036,0.5268629199579467,0.5638955016229209,0.37747570641947936,0.09865075527188738,0.0960988719561667,0.0011673594667928212,0.9027337685770405,0.9424528288208037,1.5449520566246726,4.998687982559204
3,1.5478505140001124,0.7198973504657095,0.8279531665823676,0.7544725327329203,0.14570813812315464,1.5478505140001124,0.0,0.0,0.0,0.5020766316169035,0.9175719840352139,0.8476979258684162,0.9478962085566423,0.8891278236828238,0.7785089691767456,0.6373431728369304,0.7114632151474228,0.8595057205162897,0.3389195303169449,0.20403558798184707,0.36793215852550826,0.31414795841493337,0.3473740672377548,0.2101952174120517,0.45717192479780033,0.28010253083238623,0.5811969187671037,0.40963888960690825,0.4177095076276669,0.9549582122345234,0.5114998713746373,0.36530321695943435,0.4885692015245996,0.6021786054995332,0.4224968387739345,0.11035212342092217,0.10746541550631293,0.0012083598723086099,0.8913262246213784,0.9512856694015167,1.4256181933663108,5.411978483200073
4,1.4487955556674437,0.6372032324698839,0.8115923276001756,0.7328234240412712,0.12104491825977509,1.4487955556674437,0.0,0.0,0.0,0.6255825268340538,0.9194837349905819,0.8509670467409093,0.946494516567302,0.893971830354287,0.7743102090319137,0.6317342403744266,0.7089930075559109,0.8528835769456087,0.4064751112909647,0.25507923608288474,0.5402886036939232,0.32578725327706937,0.5856195135388329,0.41404665798527446,0.508874031694467,0.6896247956697678,0.7197463694006807,0.5621904536710817,0.6440821914799135,0.8155544121668536,0.6215378008155981,0.46576264702841685,0.6005594586060536,0.6709625095148248,0.5706136647434928,0.06654104370819922,0.06513852333912118,0.0005707041647370316,0.9342907724961418,0.9675298774327871,1.3194094002246857,4.842889070510864
5,1.3777472905137322,0.5789241922849958,0.7988230972127481,0.7189949866045605,0.101705542977222,1.3777472905137322,0.0,0.0,0.0,0.3607918250246383,0.8989472380011704,0.8164433794882264,0.9467086722355715,0.8557734823410882,0.7947314429326265,0.6593812128197765,0.7523129832000048,0.8422191789213829,0.24586179707704797,0.14016101848039342,0.17825532532062718,0.39608340448326734,0.5052881378343209,0.33805053042277455,0.3477713169012019,0.9236297950019106,0.005624696945207433,0.0028202800829874213,0.7499999999907635,0.0028229339044094862,0.38787651869730067,0.285103260451483,0.5070849063531493,0.5411888280777425,0.2522582106188587,0.11953405864062215,0.11814080426820632,0.0006205356841743166,0.8812386600476194,0.9307394304413289,1.4621876938776537,4.852025985717773
6,1.3305639164014296,0.5419393798167055,0.7886245386167006,0.7073683535510843,0.09267523867840116,1.3305639164014296,0.0,0.0,0.0,0.4893989376032495,0.9258918765637142,0.8620099376975215,0.9318423491135693,0.9200169177579361,0.7832614089739866,0.6437384453414123,0.7755266598866736,0.7911519980554454,0.3062560916179244,0.18081605495512665,0.5624356736921553,0.2104155157115744,0.3620401513058157,0.22103115140120294,0.45165293382081595,0.3021002283409881,0.5513064777729892,0.3805542506502624,0.3858717208298819,0.9650540251143327,0.5007160324176789,0.3565349755870011,0.5438717470573817,0.5671804418055852,0.4065342402322431,0.115221595165922,0.11212455986634086,0.0013283374421545098,0.8865471026915046,0.9526358373859994,1.3666310879317196,4.918070554733276
7,1.3150365813211962,0.5329958395185795,0.7820407409559597,0.698246256871657,0.08535992635668001,1.3150365813211962,0.0,0.0,0.0,0.4727182487479647,0.9291635510033598,0.8676988459572648,0.9335033676423422,0.9248638988796724,0.7907662366121676,0.6539399250619077,0.7589010096532043,0.8254247035004836,0.2532138538996105,0.1449598478124511,0.3441718629756443,0.20028292568596084,0.28988804883330577,0.1695140769208324,0.6673046727257376,0.18516292352802152,0.6138038959783356,0.4427973027752376,0.45525821059730137,0.9417845206806125,0.48691800883085484,0.3528027881426072,0.556408938987972,0.5381637683487696,0.38563526623708394,0.10836990100795996,0.10610458430108012,0.0009339977901549147,0.8929614179087649,0.9526168635645788,1.3429209915074436,5.0542333126068115
8,1.2565001858906313,0.4855013835159215,0.7709987983107567,0.6865024576810274,0.07539470472627065,1.2565001858906313,0.0,0.0,0.0,0.653684578936514,0.9312030230377734,0.8712627777863599,0.9683696000486218,0.8967839442835117,0.815667757726568,0.6887153187359154,0.7760221580949713,0.8595822970795138,0.482259176642981,0.31774804315818217,0.35326908890605363,0.7596219844976495,0.6154077491357427,0.4444685782053218,0.583683935799086,0.6507782039294798,0.7088503784323494,0.5490071534635143,0.5840536011387965,0.9014707995531095,0.6555462654844103,0.49998477339073344,0.5742571959847269,0.7928633212649381,0.6021724347370244,0.08596043085647485,0.08499755042903949,0.00040280957709329927,0.9145996399938672,0.9571723844897629,1.1624734144319187,5.113264083862305
9,1.2385681989518078,0.4778255173428492,0.7607426866889,0.6726110669022257,0.06992206102321771,1.2385681989518078,0.0,0.0,0.0,0.6700015021513024,0.9228819899650625,0.8568067578176767,0.9647891507101758,0.8844638856548088,0.8019607559398156,0.6693943958145737,0.7493935417291767,0.8624591056450224,0.4837028454506126,0.31900267305741875,0.3631077658473865,0.7242353472954345,0.6378955012708548,0.46831612542651213,0.526062102976273,0.8101144249177651,0.7455002833673282,0.5942610217309574,0.7213417488858905,0.7713330830238873,0.6672648465071528,0.5127435540073655,0.5899762898596816,0.7920354902205272,0.6223662100295986,0.06875600342165167,0.06773133981238262,0.0004348747226279814,0.9318337854649894,0.9640232218139739,1.148601615970785,4.464801073074341
10,1.2370573817328974,0.4762248628857461,0.7608325196938082,0.6739799166944894,0.06824695028957319,1.2370573817328974,0.0,0.0,0.0,0.6584310183705255,0.9245146929878701,0.8596255913121861,0.9682047609090065,0.8845973927112917,0.7983350734686546,0.6643574725718935,0.7355685338767044,0.8728127510352615,0.48569178701872456,0.3207350939889079,0.36441231929603257,0.7279644417658275,0.6405231281984991,0.4711541192677405,0.51608217553206,0.8440443706629253,0.7028947361316762,0.5418949068446853,0.8415558055048648,0.6034635405802263,0.6568611812043886,0.49953539816830683,0.6144047085524154,0.7620712760110602,0.6097032171162999,0.08048087287081986,0.07963300107628128,0.00034930900220887735,0.9200176899215098,0.9555073373942901,1.1500809680331836,5.017696142196655
